INFO - start
DEBUG - 22 C
DEBUG - 26 C
CRITICAL - 39 C
DEBUG - 21 C
WARNING - 31 C
DEBUG - 26 C
WARNING - 34 C
CRITICAL - 39 C
DEBUG - 25 C
WARNING - 31 C
DEBUG - 21 C
DEBUG - 23 C
DEBUG - 25 C
DEBUG - 25 C
CRITICAL - 40 C
CRITICAL - 36 C
CRITICAL - 38 C
DEBUG - 23 C
DEBUG - 25 C
WARNING - 33 C
CRITICAL - 36 C
WARNING - 31 C
DEBUG - 28 C
CRITICAL - 40 C
DEBUG - 23 C
CRITICAL - 36 C
WARNING - 34 C
WARNING - 33 C
DEBUG - 26 C
DEBUG - 20 C
WARNING - 32 C
DEBUG - 21 C
DEBUG - 20 C
DEBUG - 23 C
WARNING - 32 C
CRITICAL - 39 C
DEBUG - 21 C
DEBUG - 24 C
WARNING - 33 C
DEBUG - 27 C
CRITICAL - 38 C
DEBUG - 28 C
WARNING - 35 C
WARNING - 32 C
DEBUG - 29 C
CRITICAL - 38 C
CRITICAL - 39 C
DEBUG - 29 C
CRITICAL - 38 C
WARNING - 31 C
WARNING - 32 C
WARNING - 32 C
DEBUG - 29 C
DEBUG - 21 C
DEBUG - 27 C
CRITICAL - 37 C
CRITICAL - 36 C
WARNING - 30 C
WARNING - 30 C
DEBUG - 24 C
